Y_pred,Y_real,Mean,,,,,,,,,,,,,,,
42.2186882,43.7,1.481311797,,,,Y_pred,Y_real,Mean,,스태킹 앙상블 모델을 통한 회귀예측,,,,릿지 모델을 통한 회귀예측,,,
47.72448287,46.2,1.524482869,,,,,,,,,,,,,,,
46.12797863,46.9,0.772021374,,,,,,,,,,,,,,,
90.46081759,79.7,10.76081759,,,,,,,,,,,,,,,
50.40906012,43.9,6.50906012,,,,,,,,,,,,,,,
51.83075745,46.4,5.430757449,,,,,,,,,,,,,,,
204.8676739,269.7,64.83232607,,,,,,,,,,,,,,,
45.50277543,44,1.50277543,,,,,,,,,,,,,,,
69.30135661,67.5,1.801356614,,,,,,,,,,,,,,,
25.19485887,20.9,4.29485887,,,,,,,,,,,,,,,
60.57496663,68.7,8.125033371,,,,,,,,,,,,,,,
25.44373431,21,4.443734314,,,,,,,,,,,,,,,
44.37007215,46.1,1.729927853,,,,,,,,,,,,,,,
47.20435196,46.6,0.604351957,,,,,,,,,,,,,,,
25.34693369,20.9,4.446933685,,,,,,,,,,,,,,,
45.25746183,43.9,1.357461829,,,,,,,,,,,,,,,
38.91356487,30.7,8.213564867,,,,,,,,,,,,,,,
47.67588626,46.2,1.475886263,,,,,,,,,,,,,,,
28.53512292,27,1.535122923,,,,,,,,,,,,,,,
38.86712025,36.5,2.367120253,,,,,,,,,,,,,,,
39.6441854,35.4,4.244185404,,,,,,,,,,,,,,,
59.89882206,58.9,0.998822065,,,,,,,,,,,,,,,
24.11757317,23.3,0.817573174,,,,,,,,,,,,,,,
50.67722502,64.6,13.92277498,,,,,,,,,,,,,,,
28.68019391,23.3,5.380193913,,,,,,,,,,,,,,,
37.93944179,38.6,0.660558207,,,,,,,,,,,,,,,
28.02104965,27.8,0.221049647,,,,,,,,,,,,,,,
44.31488859,46.6,2.285111413,,,,,,,,,,,,,,,
294.9491124,295.1,0.150887636,,,,,,,,,,,,,,,
52.27810511,69.6,17.32189489,,,,,,,,,,,,,,,
27.98201839,30.9,2.917981613,,,,,,,,,,,,,,,
20.07278622,26.1,6.027213782,,,,,,,,,,,,,,,
25.69857297,21,4.698572966,,,,,,,,,,,,,,,
51.37798877,58.7,7.322011233,,,,,,,,,,,,,,,
42.53661017,46.4,3.863389832,,,,,,,,,,,,,,,
35.5946458,30.5,5.094645797,,,,,,,,,,,,,,,
53.76790582,58,4.232094181,,,,,,,,,,,,,,,
26.82625966,23.3,3.52625966,,,,,,,,,,,,,,,
23.34606667,26.1,2.753933326,,,,,,,,,,,,,,,
32.24456973,29.9,2.344569725,,,,,,,,,,,,,,,
46.67769381,47.5,0.822306187,,,,,,,,,,,,,,,
38.89408403,34.3,4.594084029,,,,,,,,,,,,,,,
50.52761936,58.7,8.172380643,,,,,,,,,,,,,,,
31.28376208,33.4,2.116237925,,,,,,,,,,,,,,,
42.06178713,46.5,4.438212874,,,,,,,,,,,,,,,
26.44913928,23.3,3.149139282,,,,,,,,,,,,,,,
22.79419229,22.7,0.094192287,,,,,,,,,,,,,,,
25.44663952,23.3,2.146639517,,,,,,,,,,,,,,,
44.52955061,46.9,2.370449389,,,,,,,,,,,,,,,
48.86247118,47.5,1.362471182,,,,,,,,,,,,,,,
88.64560674,84,4.645606743,,,,,,,,,,,,,,,
37.69785094,46.4,8.70214906,,,,,,,,,,,,,,,
58.07212759,68.5,10.42787241,,,,,,,,,,,,,,,
43.5940357,43.5,0.094035703,,,,,,,,,,,,,,,
77.7939331,88.9,11.1060669,,,,,,,,,,,,,,,
63.4404889,69.1,5.659511104,,,,,,,,,,,,,,,
48.25915774,47.5,0.75915774,,,,,,,,,,,,,,,
27.44732336,30.7,3.252676637,,,,,,,,,,,,,,,
56.89356897,54.7,2.19356897,,,,,,,,,,,,,,,
39.42262255,44.7,5.277377455,,,,,,,,,,,,,,,
77.45803181,83.9,6.44196819,,,,,,,,,,,,,,,
44.94630747,46.2,1.253692532,,,,,,,,,,,,,,,
36.74213723,41.5,4.757862767,,,,,,,,,,,,,,,
26.05984976,25,1.059849764,,,,,,,,,,,,,,,
51.91683755,46.4,5.516837545,,,,,,,,,,,,,,,
31.02520098,29.9,1.125200983,,,,,,,,,,,,,,,
42.32785213,29,13.32785213,,,,,,,,,,,,,,,
56.83958122,58.9,2.060418784,,,,,,,,,,,,,,,
41.65523969,47.7,6.04476031,,,,,,,,,,,,,,,
45.7190478,46.1,0.380952196,,,,,,,,,,,,,,,
30.31061754,27.8,2.510617541,,,,,,,,,,,,,,,
36.61331005,40.8,4.18668995,,,,,,,,,,,,,,,
248.5263161,270.4,21.87368389,,,,,,,,,,,,,,,
279.9331681,270.9,9.033168129,,,,,,,,,,,,,,,
85.56892103,79.7,5.868921031,,,,,,,,,,,,,,,
48.25991582,50.2,1.940084182,,,,,,,,,,,,,,,
44.74906198,46.4,1.650938022,,,,,,,,,,,,,,,
69.7128775,69.1,0.612877496,,,,,,,,,,,,,,,
52.34036386,68.7,16.35963614,,,,,,,,,,,,,,,
52.48962179,49.5,2.989621792,,,,,,,,,,,,,,,
29.1408837,26.4,2.740883702,,,,,,,,,,,,,,,
21.13508193,26.3,5.164918067,,,,,,,,,,,,,,,
59.42800599,62.7,3.27199401,,,,,,,,,,,,,,,
53.96085846,58.9,4.939141537,,,,,,,,,,,,,,,
40.22276918,53.6,13.37723082,,,,,,,,,,,,,,,
37.30909488,41.8,4.490905122,,,,,,,,,,,,,,,
43.12286129,46.4,3.277138709,,,,,,,,,,,,,,,
39.7064707,46.2,6.493529302,,,,,,,,,,,,,,,
43.75708969,46.9,3.14291031,,,,,,,,,,,,,,,
