총_유동인구_수,남성_유동인구_수,여성_유동인구_수,남성_상주인구_수,여성_상주인구_수,총_가구_수,아파트_가구_수,비_아파트_가구_수,총_직장_인구_수,남성_직장_인구_수,여성_직장_인구_수,운영_영업_개월_평균,폐업_영업_개월_평균,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,초등학교_수,중학교_수,고등학교_수,대학교_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,공항_수,철도_역_수,지하철_역_수,버스_정거장_수,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,남성_매출_금액,여성_매출_금액,주중_매출_건수,주말_매출_건수,점포수,임대료_전체,공실률
0.048937766,0.154864863,-0.052654823,-1.301029356,-1.329757214,-1.322318634,-0.515135479,-1.259439606,1.924395753,1.394699529,2.728353099,1.050508197,1.658165923,0.489093741,0.423336061,3.473215128,-0.28105715,-0.222359022,1.633923197,-0.593125789,-0.119671642,-0.064304624,-0.052468345,-0.064304624,-0.253458593,-0.20875557,-0.254457467,-0.009828521,-0.434919126,-0.091129144,-0.211478297,0.550213438,0.512087618,0.506244083,0.770520738,-0.125453679,0.460004196,0.078402302,0.761505863,-0.102565211,0.255397332,0.567191462,5.5
-0.547278159,-0.565667682,-0.524966679,-0.824364513,-0.846176641,-0.820133377,-0.515135479,-0.741788836,-0.090819725,-0.134507049,-0.00751381,0.050087034,-0.30909763,-0.00438986,-0.515870295,-0.531591179,-0.28105715,-0.222359022,-0.418816139,-0.593125789,-0.119671642,-0.064304624,-0.052468345,-0.064304624,-0.253458593,-0.20875557,-0.0673715,1.785482131,-0.434919126,-0.091129144,-0.211478297,0.20321804,-0.42479945,-0.445977216,-0.447632002,-0.351451059,-0.43735328,-0.391248186,-0.464565961,-0.381103018,-0.460536908,0.567191462,5.5
1.719494025,1.510208512,1.904469356,-1.276983948,-0.614489013,-1.270321251,-0.515135479,-1.205840889,2.121023626,1.444945315,3.169988118,2.208890597,0.447542198,2.227014249,1.362542416,3.139481269,-0.28105715,-0.222359022,4.028785755,-0.593125789,-0.119671642,-0.064304624,-0.052468345,-0.064304624,-0.253458593,-0.20875557,0.680972368,2.352422336,-0.434919126,-0.091129144,-0.211478297,0.897208836,4.400485227,4.424522799,4.37752913,4.296888706,3.487795329,4.758911906,4.566573747,3.877737637,4.249208951,0.567191462,5.5
-0.372763673,-0.371147285,-0.371071784,-1.301029356,-1.355350615,-1.356527439,-0.515135479,-1.29470192,3.205070573,2.384362068,4.435498149,3.419926742,1.204182026,0.059977566,-0.515870295,1.470811974,-0.28105715,-0.222359022,-0.076692916,-0.593125789,-0.119671642,-0.064304624,-0.052468345,-0.064304624,-0.253458593,-0.20875557,0.119714467,0.273641582,-0.434919126,-0.091129144,-0.211478297,0.550213438,-0.310369498,-0.296688073,-0.30232121,-0.315590832,-0.361202932,-0.281548083,-0.288295266,-0.300974453,-0.319552935,0.567191462,5.5
-0.18760463,-0.184683175,-0.188773263,-0.508945345,-0.478439882,-0.452046635,-0.402921935,-0.384934218,-0.011150692,-0.045829218,0.050825305,0.366009506,-0.30909763,0.617828593,1.362542416,-0.19785732,-0.28105715,-0.222359022,0.265430307,-0.593125789,7.142901142,-0.064304624,-0.052468345,15.5456428,-0.253458593,-0.20875557,-0.0673715,2.163442268,-0.434919126,-0.091129144,2.588686602,0.550213438,-0.105572875,0.016192325,-0.055380553,-0.220204549,-0.12479586,-0.138831154,0.125035561,-0.23337869,0.010878253,0.567191462,5.5
-0.386845623,-0.416239913,-0.355435138,0.233633416,0.329772775,0.163711856,-0.480068747,0.265302853,-0.360167613,-0.320835173,-0.40506452,-1.318910348,0.144886267,-0.540785078,-0.515870295,-0.531591179,-0.28105715,-0.222359022,-0.418816139,-0.593125789,-0.119671642,-0.064304624,-0.052468345,-0.064304624,-0.253458593,-0.20875557,-0.254457467,-0.482278692,-0.434919126,-0.091129144,-0.211478297,0.20321804,-0.48865664,-0.514642075,-0.507393583,-0.422179554,-0.517517657,-0.428833464,-0.540800889,-0.429019403,-0.42308804,-0.734749304,8.2
-0.466360208,-0.460550939,-0.467874675,-0.975709137,-1.071129164,-0.967915414,-0.515135479,-0.894122032,0.059513979,0.135863134,-0.079315797,1.050508197,1.204182026,0.059977566,-0.515870295,0.803344256,-0.28105715,-0.222359022,0.607553529,-0.593125789,-0.119671642,-0.064304624,-0.052468345,-0.064304624,-0.253458593,-0.20875557,-0.254457467,0.179151548,-0.434919126,-0.091129144,2.588686602,2.632185826,-0.175448591,-0.260319057,-0.142288728,-0.24644117,-0.1685594,-0.232602415,-0.231176381,-0.313854561,-0.163148839,-0.734749304,8.2
-0.442454698,-0.428366318,-0.452083211,1.099268086,0.759472504,1.244710094,-0.515135479,1.386644439,-0.113428505,-0.105944712,-0.118912481,0.78723947,1.204182026,-0.3476828,0.423336061,-0.19785732,-0.28105715,-0.222359022,0.607553529,-0.593125789,-0.119671642,-0.064304624,-0.052468345,-0.064304624,-0.253458593,-0.20875557,-0.254457467,-0.293298623,-0.434919126,-0.091129144,-0.211478297,0.20321804,-0.394239612,-0.437105796,-0.404731998,-0.351607054,-0.424113093,-0.325843507,-0.447232657,-0.392016379,-0.425290915,-0.544930014,8.2
-0.194549017,-0.157758444,-0.228005873,0.805065453,0.33516086,0.823257616,-0.402921935,0.929644849,0.046888297,0.128984247,-0.101225962,0.418663252,1.204182026,-0.218947947,-0.515870295,-0.19785732,-0.28105715,-0.222359022,0.949676752,-0.593125789,-0.119671642,-0.064304624,-0.052468345,-0.064304624,-0.253458593,-0.20875557,-0.254457467,-0.009828521,-0.434919126,-0.091129144,-0.211478297,0.550213438,-0.279790784,-0.239914547,-0.259033413,-0.316606039,-0.296047622,-0.302775297,-0.221724299,-0.269442994,-0.242452324,-0.544930014,8.2
-0.373632964,-0.367146642,-0.37658442,-1.257181848,-1.251629991,-1.216955515,-0.515135479,-1.150831679,1.021219044,0.607814626,1.681416766,1.313776924,0.296214233,0.253079845,-0.515870295,-0.19785732,-0.28105715,-0.222359022,0.949676752,-0.593125789,-0.119671642,-0.064304624,-0.052468345,-0.064304624,-0.253458593,-0.20875557,-0.254457467,-0.009828521,-0.434919126,10.96967076,5.388851501,1.93819503,-0.015468998,0.203434973,0.005166852,-0.063864983,0.048738215,-0.014362683,0.261686531,0.060089325,-0.13451147,-0.544930014,8.2
-0.108605654,-0.030762643,-0.181997199,-0.644731175,-0.646817519,-0.283739314,-0.515135479,-0.188875752,-0.327869356,-0.295413198,-0.362828057,0.839893215,0.296214233,-0.240403756,1.362542416,-0.19785732,-0.28105715,-0.222359022,-0.418816139,-0.593125789,-0.119671642,-0.064304624,-0.052468345,-0.064304624,-0.253458593,-0.20875557,-0.254457467,0.084661514,-0.434919126,-0.091129144,-0.211478297,0.20321804,-0.278706058,-0.310989571,-0.257469855,-0.316708632,-0.253215958,-0.275713048,-0.300559093,-0.319214989,-0.330567307,-0.46289916,8.2
-0.557648576,-0.559191967,-0.551338314,-0.99126793,-1.045535763,-1.03359632,-0.515135479,-0.961825675,-0.197697593,-0.275075618,-0.04763845,1.419084415,1.658165923,-0.261859565,-0.515870295,-0.19785732,-0.28105715,-0.222359022,0.607553529,-0.593125789,-0.119671642,-0.064304624,-0.052468345,-0.064304624,-0.253458593,-0.20875557,-0.254457467,0.084661514,-0.434919126,-0.091129144,-0.211478297,-0.143777359,-0.406213175,-0.377328306,-0.403447962,-0.394567982,-0.393585069,-0.413390366,-0.374187209,-0.365563534,-0.469348406,-0.46289916,8.2
-0.468326056,-0.466305843,-0.46619932,-0.714038526,-0.73437389,-0.683298157,-0.515135479,-0.60073958,-0.308392528,-0.259373809,-0.373915128,0.997854452,1.204182026,-0.390594417,-0.515870295,-0.19785732,-0.28105715,-0.222359022,0.265430307,-0.593125789,-0.119671642,-0.064304624,-0.052468345,-0.064304624,-0.253458593,-0.20875557,-0.254457467,-0.293298623,-0.434919126,-0.091129144,-0.211478297,0.20321804,-0.368472951,-0.374451934,-0.364452615,-0.361507068,-0.348859752,-0.39417133,-0.377809132,-0.347979903,-0.301929938,-0.46289916,8.2
