Date,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,남성_상주인구_수,여성_상주인구_수,총_가구_수,아파트_가구_수,비_아파트_가구_수,총_직장_인구_수,남성_직장_인구_수,여성_직장_인구_수,운영_영업_개월_평균,폐업_영업_개월_평균,집객시설_수,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,남성_매출_금액,여성_매출_금액,주중_매출_건수,주말_매출_건수,점포수,임대료_전체,공실률
2017_1,279175,137410,141769,1700,1704,1719,54,1665,275,177,98,89,41,21,4857093760,285823,3254346012,1602747748,2666102781,1990564843,196747,89076,148,71058,13.7
2017_1,180063,86391,93673,310,322,297,86,211,448,135,313,124,59,21,17991550509,568042,13597014704,4394535805,6540722850,10431689240,420610,147432,311,71058,13.7
2017_1,113531,51447,62087,776,768,671,0,671,146,57,89,89,53,3,3554085550,204512,2597811162,956274388,1596136495,1794099124,149322,55190,113,69359,13.7
2017_1,150406,76231,74174,378,325,463,0,463,64,31,33,109,49,22,12237479309,386215,8900593768,3336885541,6153751099,5490214633,274729,111486,255,83403,13.7
2017_1,138360,73458,64907,1363,1382,1219,0,1219,231,65,166,101,42,8,2881489342,110816,2252331851,629157491,1236815757,1495806787,85499,25317,140,83403,13.7
2017_1,225397,117703,107693,852,861,914,8,906,92,48,44,87,40,14,3225293582,170005,2357753966,867539616,1586020528,1448030564,118541,51464,134,83403,13.7
2017_1,75646,39785,35864,1878,1941,1696,54,1642,742,391,351,88,40,2,2385670859,183949,1657734308,727936551,1278467222,1056589609,127819,56130,88,83403,13.7
2017_1,3415,1731,1684,30,19,19,0,19,136,74,62,103,47,1,297121174,13591,212852047,84269127,109193435,164929346,9771,3820,19,83403,13.7
2017_1,1627918,801844,826076,1047,1032,1353,0,1353,4155,2143,2012,89,48,84,48251848809,2498054,33331343103,14920505706,24392903398,22556260462,1750359,747695,585,83403,13.7
2017_1,124031,65078,58950,1108,1126,1047,0,1047,186,91,95,69,44,1,1056047664,54662,767019619,289028045,502469885,443067914,39731,14931,48,83403,13.7
2017_1,197933,103277,94657,739,827,815,0,815,43,24,19,81,36,5,2239609325,88889,1780104231,459505094,955090822,711062780,64412,24477,61,83403,13.7
2017_1,98528,49517,49012,383,372,411,14,397,75,30,45,103,54,7,5897671880,219048,4484396223,1413275657,2178481777,2783162548,162055,56993,93,83403,13.7
2017_1,102188,50605,51582,1516,1644,1323,0,1323,491,324,167,97,49,14,8044404591,295046,5921601684,2122802907,4027859711,3033501567,221829,73217,142,83897,3.8
2017_1,173027,85316,87715,2843,2959,2751,26,2725,491,204,287,93,59,7,3640526899,319810,2454561978,1185964921,2016532627,1443714138,218904,100906,93,83897,3.8
2017_1,229247,115658,113588,340,333,447,0,447,72,28,44,119,58,26,11232349266,366180,7935045244,3297304022,5669875589,4739338578,273687,92493,154,92569,3.8
2017_1,419995,197136,222858,350,439,559,66,493,55,20,35,91,46,29,11228186229,530756,8876165010,2352021219,5013428472,5903397894,408311,122445,212,96400,3.8
2017_1,768778,374631,394149,1740,1917,1845,27,1818,702,303,399,87,48,11,6414490941,444135,4591034395,1823456546,3228886667,2786151345,312229,131906,139,96400,3.8
2017_1,102947,50046,52900,1321,1457,1322,0,1322,16,1,15,85,48,1,2769896356,177387,1937096350,832800006,1420983965,1184695324,123447,53940,94,96400,3.8
2017_1,1028482,512866,515616,111,145,160,0,160,89,38,51,112,65,30,11085674716,627691,8251287366,2834387350,5031720618,5597484082,470177,157514,115,96400,3.8
2017_1,431966,217811,214156,274,303,343,24,319,253,102,151,86,44,39,22450899118,1072015,15144489383,7306409735,8392525518,13402876558,717445,354570,571,96400,3.8
2017_1,86468,36429,50034,2821,3019,2595,9,2586,14,10,4,87,53,2,2183475223,141297,1532585338,650889885,987729330,965413038,98360,42937,82,96400,3.8
2017_1,792994,249881,543116,489,817,986,61,925,1275,511,764,104,46,26,41903275819,2584196,30200971772,11702304047,8364814357,29209228607,1991860,592336,1076,127441,5.5
2017_1,5684274,2731652,2952622,1404,1399,2089,79,2010,3003,1231,1772,100,51,129,1.25E+11,6899168,88284727848,36903811455,56734757110,62661294058,4867684,2031484,1807,127441,5.5
2017_1,299082,130385,168695,1682,1815,1544,72,1472,103,55,48,111,56,5,1265496159,87157,942884359,322611800,588547376,456662814,64710,22447,61,99736,5.3
2017_1,533577,282427,251147,1312,1379,1338,24,1314,1407,589,818,112,52,9,4901422756,282709,3953373798,948048958,2538886581,1324652218,213937,68772,123,99736,5.3
2017_1,314824,162535,152290,1026,1114,1148,300,848,1156,587,569,108,55,9,5562471512,332420,4480034322,1082437190,2473969725,2021888294,254056,78364,97,99736,5.3
2017_1,330497,156135,174362,267,303,215,0,215,4647,2279,2368,70,44,21,8672723700,594927,6981167724,1691555976,3255160406,4447650355,494340,100587,106,99736,5.3
2017_1,340311,172072,168239,343,319,402,0,402,821,462,359,86,46,20,14013637237,781236,11204530295,2809106942,6123484503,5756742026,640738,140498,156,126277,8
2017_1,187071,92399,94672,799,910,893,27,866,1745,843,902,82,47,15,11369125725,303287,7508730010,3860395715,6329730564,3773265569,220908,82379,98,126277,8
