Date,상권_코드_명,총_상주인구_수
2019_1,양녕로26길,1926
2019_1,신대방길,3860
2019_1,성대로29길,2051
2019_1,성대로1길,1125
2019_1,서달로8가길,630
2019_1,서달로15길,363
2019_1,서달로14길,380
2019_1,서달로10길,1747
2019_1,상도로62길,2947
2019_1,상도로61길,2305
2019_1,상도로47길,3944
2019_1,상도로37길,1330
2019_1,상도로15길,3901
2019_1,사당로8길,2608
2019_1,사당로30길,1022
2019_1,사당로2차길,3211
2019_1,사당로29길,2570
2019_1,사당로26길,2886
2019_1,사당로23나길,1000
2019_1,사당로23길,1509
2019_1,사당로20길,2722
2019_1,사당로16길,3461
2019_1,사당로16가길,2263
2019_1,만양로8길,3617
2019_1,만양로14길,921
2019_1,등용로14길,1918
2019_1,동작대로7길,3443
2019_1,동작대로35길,2600
2019_1,동작대로33길,2635
2019_1,동작대로29길,860
2019_1,동작대로17길,2411
2019_1,대방동2길,3564
2019_1,대방동27길,4113
2019_1,노량진로6길,3231
2019_1,국사봉길,3937
2019_1,국사봉2길,1413
2019_1,국사봉1길,3340
2019_1,영신로9길,2590
2019_1,영등포로84길,2665
2019_1,영등포로80길,2232
2019_1,영등포로62길,1623
2019_1,영등포로35길,1332
2019_1,영등포로27길,1825
2019_1,영등포로25길,1829
2019_1,여의대방로61길,2311
2019_1,여의대방로43나길,3542
2019_1,여의대방로39길,371
2019_1,여의대방로35길,1533
2019_1,양평로28길,4135
2019_1,양평로22라길,1552
2019_1,양평로19길,3234
2019_1,신길로60길,2997
2019_1,신길로42길,2737
2019_1,신길로42가길,3964
2019_1,신길로39길,1984
2019_1,신길로17길,2428
2019_1,선유서로28길,982
2019_1,선유서로25길,3395
2019_1,선유서로24길,1294
2019_1,선유로55길,2921
2019_1,디지털로74길,81
2019_1,디지털로57길,1463
2019_1,디지털로37길,1343
2019_1,도신로62길,1876
2019_1,도신로60길,800
2019_1,도신로29길,1619
2019_1,도신로15길,3610
2019_1,도림천로21길,2485
2019_1,도림로63길,602
2019_1,도림로147길,341
2019_1,도림로112길,2249
2019_1,대림로8길,3025
2019_1,대림로7길,1057
2019_1,대림로44길,2339
2019_1,대림로34길,2843
2019_1,대림로31길,2369
2019_1,대림로29길,1876
2019_1,대림로22길,4346
2019_1,당산로46길,2217
2019_1,당산로38길,1801
2019_1,당산로37길,1331
2019_1,당산로31길,981
2019_1,국회대로56길,2712
2019_1,경인로90길,141
2019_1,경인로80길,152
2019_1,경인로77길,269
2019_1,가마산로61길,1912
2019_1,시흥대로94길,3748
2019_1,시흥대로84길,5951
2019_1,시흥대로68길,2653
2019_1,시흥대로63길,1584
2019_1,시흥대로62가길,3026
2019_1,시흥대로36길,1984
2019_1,시흥대로22길,3530
2019_1,시흥대로153길,1824
2019_1,시흥대로150길,4814
2019_1,시흥대로141길,2252
2019_1,시흥대로138길,576
2019_1,시흥대로120길,3305
2019_1,벚꽃로56길,1055
2019_1,범안로17길,1258
2019_1,범안로11길,1269
2019_1,문성로5길,3269
2019_1,독산로85길,649
2019_1,독산로78다길,3279
2019_1,독산로70길,2598
2019_1,독산로64길,2243
2019_1,독산로50길,2130
2019_1,독산로40길,2632
2019_1,독산로108길,1910
2019_1,남부순환로112길,2288
2019_1,금하로24길,4338
2019_1,금하로1길,1965
2019_1,금하로14길,1753
2019_1,가산로5길,3281
2019_1,가산로3길,1060
2019_1,중앙로1길,1102
2019_1,중앙로15길,1606
2019_1,우마길,830
2019_1,오류로8길,2099
2019_1,신도림로13길,517
2019_1,새말로18길,2823
2019_1,부일로1길,1428
2019_1,부일로15길,1686
2019_1,부일로11길,2639
2019_1,디지털로32길,1500
2019_1,디지털로32가길,4723
2019_1,디지털로27길,1190
2019_1,도림로6길,1410
2019_1,도림로12길,2165
2019_1,남부순환로97길,1287
2019_1,구로중앙로8길,2694
2019_1,구로중앙로7길,673
2019_1,구로중앙로42길,922
2019_1,구로중앙로34길,1131
2019_1,구로중앙로28길,3257
2019_1,구로중앙로19길,870
2019_1,구로동로8길,6114
