"Date","상권","행정동_코드","상권_코드_명","총_유동인구_수","총_상주인구_수","총_직장_인구_수","운영_영업_개월_평균","폐업_영업_개월_평균","당월_매출_금액","당월_매출_건수","점포수","공실률","임대료"
"2014_2","이태원",11170660,"회나무로13길",108920,392,38,78,41,7641338356,430356,136,9.8,45.1
"2014_2","이태원",11170660,"녹사평대로40나길",225473,97,20,101,55,4393778003,163327,72,9.8,45.1
"2014_2","이태원",11170650,"용산구청",12204,33,79,57,53,1928197794,71796,39,9.8,45.1
"2014_2","이태원",11170660,"녹사평대로46길",129706,209,32,82,44,7446257328,555059,97,9.8,45.1
"2014_2","잠실",11710650,"삼전로13길",280811,6818,1628,87,40,26432046145,1308737,438,10.1,40.3
"2014_2","잠실",11710650,"새마을시장",158932,4076,319,92,47,16163377859,645412,350,10.1,40.3
"2014_2","잠실",11710650,"신천역",652624,2586,6115,92,43,87843528592,4141361,1154,10.1,40.3
"2014_2","잠실",11710680,"잠실역 롯데월드",26966,4188,2770,83,75,30270115356,1314306,625,10.1,40.3
"2014_2","잠실",11710710,"잠실역",451254,4046,4525,78,44,27197835164,2272490,320,10.1,40.3
"2014_2","장안동",11230650,"장한로8길",278019,2039,746,101,37,2376849822,116335,66,2.6,26.1
"2014_2","장안동",11230650,"천호대로77길",197005,1770,2011,110,36,526972588,23066,31,2.6,26.1
"2014_2","장안동",11230650,"한천로14길",539332,3208,550,87,39,5713779842,430528,130,2.6,26.1
"2014_2","장안동",11230650,"천호대로97길",328388,2070,342,118,45,2652665419,39839,105,2.6,26.1
"2014_2","장안동",11230650,"답십리로72길",237329,1560,8,83,42,2700226578,109161,93,2.6,26.1
"2014_2","장안동",11230650,"장한평역_1",194081,157,2525,97,41,15511556942,780132,208,2.6,26.1
"2014_2","장안동",11230650,"장한평역_2",356744,1032,11959,98,44,8903743661,300786,275,2.6,26.1
"2014_2","장안동",11230650,"장한로25길",104969,893,930,107,41,6145366226,144994,108,2.6,26.1
"2014_2","장안동",11230650,"답십리로64길",336904,4153,358,105,42,4557982866,321264,140,2.6,26.1
"2014_2","장안동",11230650,"장한로14길",220358,1551,208,94,39,2518374710,148159,71,2.6,26.1
"2014_2","장안동",11230650,"장한로26길",563139,2182,507,82,43,8242245249,453447,103,2.6,26.1
"2014_2","장안동",11230650,"답십리로68길",172769,2504,144,77,35,3750351812,327005,130,2.6,26.1
"2014_2","장안동",11230650,"장한로5길",242183,2013,3554,93,40,6647005946,300052,168,2.6,26.1
"2014_2","장안동",11230660,"장안동사거리",695369,2003,479,80,40,32189651444,1427310,618,2.6,26.1
"2014_2","장안동",11230660,"답십리로63길",113934,2624,67,89,47,1111959712,26047,58,2.6,26.1
"2014_2","장안동",11230660,"장한로26가길",93756,1259,292,90,38,4283941696,188471,87,2.6,26.1
"2014_2","장안동",11230660,"답십리로69길",183310,1588,663,85,39,12735030958,243762,149,2.6,26.1
"2014_2","장안동",11230660,"장한로27가길",99118,1978,358,107,38,3514414234,171643,70,2.6,26.1
"2014_2","장안동",11230660,"장한로27길",151249,2095,143,92,41,4265597288,150612,103,2.6,26.1
"2014_2","장안동",11230660,"한천로46길",275117,2003,357,78,42,3540741285,240588,83,2.6,26.1
"2014_2","장안동",11230660,"사가정로23가길",157600,2500,102,88,46,3353653371,186780,115,2.6,26.1
"2014_2","장안동",11230660,"한천로40길",345939,2415,280,104,44,2673844947,227429,84,2.6,26.1
"2014_2","종로",11110615,"종로구청",632371,113,14961,107,56,57341063819,2678431,813,10.5,90.3
"2014_2","종로",11110615,"서울 종로구 종로3가역_1",362721,80,3295,107,50,19280101626,1141302,393,10.5,90.3
"2014_2","종로",11110615,"서울 종로구 종로5가역_4",101661,166,620,131,57,7172966959,302020,210,10.5,90.3
