Date,상권,행정동_코드,공실률
2015_4,청담,11680565,11
2015_4,테헤란로,11680640,12.4
2015_4,테헤란로,11680650,12.4
2015_4,테헤란로,11680630,12.4
2015_4,테헤란로,11680610,12.4
2015_4,테헤란로,11680580,12.4
2015_4,테헤란로,11680590,12.4
2015_4,공덕역,11440565,10.9
2015_4,신촌,11410585,6.4
2015_4,영등포,11560535,8.7
2015_4,영등포,11560515,8.7
2015_4,홍대합정,11440660,4.3
2015_4,건대입구,11215710,3.8
2015_4,건대입구,11215840,3.8
2015_4,건대입구,11215820,3.8
2015_4,경희대,11230710,1.3
2015_4,경희대,11230740,1.3
2015_4,군자,11215780,6
2015_4,군자,11215730,6
2015_4,군자,11215740,6
2015_4,군자,11215750,6
2015_4,목동,11470510,2
2015_4,목동,11470520,2
2015_4,목동,11470530,2
2015_4,목동,11470540,2
2015_4,목동,11470550,2
2015_4,사당,11590620,0.7
2015_4,사당,11650610,0.7
2015_4,사당,11620630,0.7
2015_4,성신여대,11290575,7.5
2015_4,성신여대,11290600,7.5
2015_4,수유,11305610,18.7
2015_4,수유,11305620,18.7
2015_4,수유,11305630,18.7
2015_4,용산,11170530,6.2
2015_4,용산,11170520,6.2
2015_4,용산,11170625,6.2
2015_4,용산,11170690,6.2
2015_4,이태원,11170650,10.4
2015_4,이태원,11170660,10.4
2015_4,잠실,11710650,8.2
2015_4,잠실,11710670,8.2
2015_4,잠실,11710680,8.2
2015_4,잠실,11710690,8.2
2015_4,잠실,11710710,8.2
2015_4,잠실,11710720,8.2
2015_4,장안동,11230650,4.8
2015_4,장안동,11230660,4.8
2015_4,천호,11740600,3.8
2015_4,천호,11740610,3.8
2015_4,천호,11740620,3.8
2015_4,청량리,11230705,9.3
2015_4,혜화동,11110650,3.7
2015_4,화곡,11500540,21.6
2015_4,화곡,11500550,21.6
2015_4,화곡,11500560,21.6
2015_4,화곡,11500570,21.6
2015_4,화곡,11500590,21.6
2015_4,화곡,11500591,21.6
2015_4,화곡,11500615,21.6
2015_4,화곡,11500593,21.6
2016_1,광화문,11110530,2.2
2016_1,동대문,11110670,12.1
2016_1,명동,11140550,9.9
2016_1,종로,11110615,9.8
2016_1,종로,11110630,9.8
2016_1,충무로,11140570,8.4
2016_1,서초,11650510,6.8
2016_1,서초,11650520,6.8
2016_1,서초,11650530,6.8
2016_1,서초,11650531,6.8
2016_1,청담,11680565,11
2016_1,테헤란로,11680640,8.4
2016_1,테헤란로,11680650,8.4
2016_1,테헤란로,11680630,8.4
2016_1,테헤란로,11680610,8.4
2016_1,테헤란로,11680580,8.4
2016_1,테헤란로,11680590,8.4
2016_1,공덕역,11440565,10.9
2016_1,신촌,11410585,6
2016_1,영등포,11560535,11.9
2016_1,영등포,11560515,11.9
2016_1,홍대합정,11440660,5.1
2016_1,건대입구,11215710,4.1
2016_1,건대입구,11215840,4.1
2016_1,건대입구,11215820,4.1
2016_1,경희대,11230710,1.8
2016_1,경희대,11230740,1.8
2016_1,군자,11215780,3.1
2016_1,군자,11215730,3.1
2016_1,군자,11215740,3.1
2016_1,군자,11215750,3.1
2016_1,목동,11470510,4
2016_1,목동,11470520,4
2016_1,목동,11470530,4
2016_1,목동,11470540,4
2016_1,목동,11470550,4
2016_1,사당,11590620,3.7
2016_1,사당,11650610,3.7
2016_1,사당,11620630,3.7
2016_1,성신여대,11290575,10.2
2016_1,성신여대,11290600,10.2
2016_1,수유,11305610,16.1
2016_1,수유,11305620,16.1
2016_1,수유,11305630,16.1
2016_1,용산,11170530,6.6
2016_1,용산,11170520,6.6
2016_1,용산,11170625,6.6
2016_1,용산,11170690,6.6
2016_1,이태원,11170650,13.5
2016_1,이태원,11170660,13.5
2016_1,잠실,11710650,6.6
2016_1,잠실,11710670,6.6
2016_1,잠실,11710680,6.6
2016_1,잠실,11710690,6.6
2016_1,잠실,11710710,6.6
2016_1,잠실,11710720,6.6
2016_1,장안동,11230650,4.8
2016_1,장안동,11230660,4.8
2016_1,천호,11740600,4
