총_유동인구_수,총_상주인구_수,총_직장_인구_수,운영_영업_개월_평균,폐업_영업_개월_평균,당월_매출_금액,점포수,임대료,공실률
60558,1300,67,88,52,4878658998,107,51.7,5.4
215282,2935,297,89,39,6467231213,158,51.7,5.4
225032,2152,8,80,39,2105717822,56,51.7,5.4
138961,1997,345,81,43,4426748431,112,51.7,5.4
323771,1991,910,117,42,7561356519,161,51.7,5.4
480320,4389,1296,91,42,8096442141,236,51.7,5.4
236438,2434,88,107,46,5219756801,141,51.7,5.4
349849,3466,95,93,44,3221405689,88,51.7,5.4
308167,4198,79,109,56,2429009168,88,51.7,5.4
75983,610,287,99,50,882441043,39,51.7,5.4
105284,2548,224,69,40,2346100751,67,51.7,5.4
111814,2132,320,105,46,7140558569,118,51.7,5.4
127771,3013,434,101,54,2161374719,61,51.7,5.4
67653,1195,130,103,51,4663103346,139,49.4,1.3
251239,667,334,89,44,19883594719,271,49.4,1.3
42478,938,243,86,42,7269556221,97,49.4,1.3
692794,4559,196,98,54,8823863995,187,49.4,1.3
71362,1444,1389,91,60,4041743602,59,49.4,1.3
273497,2650,15,131,62,156728981,29,49.4,1.3
203458,1795,7,94,48,10963921957,278,49.4,1.3
203574,3994,109,117,53,1365486314,63,39.9,10.9
255156,1477,1197,112,51,5203663090,118,39.9,10.9
381491,3441,1250,113,48,5289438941,124,39.9,10.9
141388,926,493,91,51,8465388089,166,70.3,1.3
825961,1867,50961,116,52,51129851064,933,70.3,1.3
241785,997,219,94,56,17250895641,191,70.3,1.3
156744,3124,353,105,49,9259524126,137,38.3,6.6
130013,3401,856,95,44,2308179862,69,38.3,6.6
123505,4857,892,80,51,5359801635,115,38.3,6.6
218814,5279,135,89,44,7112357059,171,38.3,6.6
239389,4289,516,101,47,6436348303,135,38.3,6.6
172343,660,119,83,48,8800465628,189,38.3,6.6
627529,2014,170,93,47,26077792701,332,38.3,6.6
282331,4601,230,103,39,1318772879,71,38.3,6.6
110518,1124,145,104,48,11349303241,212,38.3,6.6
218122,4747,470,101,49,9179385811,190,38.3,6.6
346701,3962,1318,78,40,15494724755,367,38.3,6.6
811589,1056,968,98,46,12811490181,366,34.8,15.7
126889,693,64,113,43,10341761248,128,34.8,15.7
134664,125,35999,159,55,8627979196,152,270,5.6
40268,1441,2878,100,46,3240220838,70,270,5.6
382252,667,3611,100,47,13536771640,288,270,5.6
2291703,62,17531,133,50,2.49E+11,2298,270,5.6
444014,50,26286,115,59,40635489579,396,270,5.6
497908,3560,419,85,42,19022862730,296,30.4,2.3
156991,1137,213,81,47,10030674174,100,30.4,2.3
122409,4162,260,72,52,789285247,47,30.4,2.3
163996,807,185,105,50,9335060606,184,30.4,2.3
21761,1304,245,99,38,594057666,8,30.4,2.3
211544,1049,624,103,45,19823759454,284,30.4,2.3
101058,2543,402,79,42,1180153509,70,30.4,2.3
54187,1309,248,96,45,1915557633,87,30.4,2.3
65313,2293,556,91,42,3628473548,140,30.4,2.3
161591,2424,93,86,51,4912610780,132,30.4,2.3
206546,4478,238,84,41,4684771864,182,30.4,2.3
