"Date","상권","행정동_코드","상권_코드_명","총_유동인구_수","총_상주인구_수","총_직장_인구_수","운영_영업_개월_평균","폐업_영업_개월_평균","당월_매출_금액","점포수","공실률","임대료"
"2014_2","용산",11170690,"서빙고로71길",61157,1712,476,114,64,797491981,25,9.4,23.7
"2014_2","용산",11170690,"녹사평대로11길",10362,491,259,108,42,3717561060,11,9.4,23.7
"2014_2","이태원",11170650,"이태원 관광특구",1684973,1680,5599,108,53,117247080069,1712,9.8,45.1
"2014_2","이태원",11170650,"녹사평대로32길",88775,125,385,123,56,5275088671,137,9.8,45.1
"2014_2","이태원",11170650,"서울 용산구 이태원역",684714,210,843,114,55,57201911639,734,9.8,45.1
"2014_2","이태원",11170650,"녹사평대로26길",83385,166,2026,88,52,5847101948,105,9.8,45.1
"2014_2","이태원",11170650,"이태원로27길",220256,173,477,110,54,19395842340,170,9.8,45.1
"2014_2","이태원",11170660,"회나무로13길",108920,392,38,78,41,7641338356,136,9.8,45.1
"2014_2","이태원",11170660,"녹사평대로40나길",225473,97,20,101,55,4393778003,72,9.8,45.1
"2014_2","이태원",11170650,"용산구청",12204,33,79,57,53,1928197794,39,9.8,45.1
"2014_2","이태원",11170660,"녹사평대로46길",129706,209,32,82,44,7446257328,97,9.8,45.1
"2014_2","잠실",11710650,"삼전로13길",280811,6818,1628,87,40,26432046145,438,10.1,40.3
"2014_2","잠실",11710650,"새마을시장",158932,4076,319,92,47,16163377859,350,10.1,40.3
"2014_2","잠실",11710650,"신천역",652624,2586,6115,92,43,87843528592,1154,10.1,40.3
"2014_2","잠실",11710680,"잠실역 롯데월드",26966,4188,2770,83,75,30270115356,625,10.1,40.3
"2014_2","잠실",11710710,"잠실역",451254,4046,4525,78,44,27197835164,320,10.1,40.3
"2014_2","장안동",11230650,"장한로8길",278019,2039,746,101,37,2376849822,66,2.6,26.1
"2014_2","장안동",11230650,"천호대로77길",197005,1770,2011,110,36,526972588,31,2.6,26.1
"2014_2","장안동",11230650,"한천로14길",539332,3208,550,87,39,5713779842,130,2.6,26.1
"2014_2","장안동",11230650,"천호대로97길",328388,2070,342,118,45,2652665419,105,2.6,26.1
"2014_2","장안동",11230650,"답십리로72길",237329,1560,8,83,42,2700226578,93,2.6,26.1
"2014_2","장안동",11230650,"장한평역_1",194081,157,2525,97,41,15511556942,208,2.6,26.1
"2014_2","장안동",11230650,"장한평역_2",356744,1032,11959,98,44,8903743661,275,2.6,26.1
"2014_2","장안동",11230650,"장한로25길",104969,893,930,107,41,6145366226,108,2.6,26.1
"2014_2","장안동",11230650,"답십리로64길",336904,4153,358,105,42,4557982866,140,2.6,26.1
"2014_2","장안동",11230650,"장한로14길",220358,1551,208,94,39,2518374710,71,2.6,26.1
"2014_2","장안동",11230650,"장한로26길",563139,2182,507,82,43,8242245249,103,2.6,26.1
"2014_2","장안동",11230650,"답십리로68길",172769,2504,144,77,35,3750351812,130,2.6,26.1
"2014_2","장안동",11230650,"장한로5길",242183,2013,3554,93,40,6647005946,168,2.6,26.1
