Date,상권,임대료
2017_3,청량리,45.9
2017_3,혜화동,73.2
2017_3,화곡,26.3
2017_4,광화문,69.2
2017_4,동대문,36.5
2017_4,명동,270.4
2017_4,서울역,85.2
2017_4,종로,84.2
2017_4,충무로,45
2017_4,소계,76.9
2017_4,강남대로,139
2017_4,논현역,38.9
2017_4,도산대로,44.9
2017_4,서초,27.8
2017_4,신사역,86.5
2017_4,압구정,56.4
2017_4,청담,68
2017_4,테헤란로,46.5
2017_4,소계,47.9
2017_4,공덕역,41.6
2017_4,신촌,58.8
2017_4,영등포,38.3
2017_4,홍대합정,55.8
2017_4,소계,45.3
2017_4,건대입구,64.3
2017_4,경희대,43.8
2017_4,군자,29.8
2017_4,목동,33.5
2017_4,불광역,36.9
2017_4,사당,60.7
2017_4,서울대입구역,62.8
2017_4,성신여대,44
2017_4,수유,54.9
2017_4,신림역,70.8
2017_4,오류동역,46.6
2017_4,왕십리,38
2017_4,용산,25
2017_4,이태원,47
2017_4,잠실,41.8
2017_4,장안동,21
2017_4,천호,35.4
2017_4,청량리,45.8
2017_4,혜화동,73.7
2017_4,화곡,26.4
2018_1,광화문,69.1
2018_1,동대문,36.5
2018_1,명동,270.4
2018_1,서울역,86.5
2018_1,종로,84.2
2018_1,충무로,43.7
2018_1,소계,75.5
2018_1,강남대로,139.7
2018_1,논현역,38.9
2018_1,도산대로,45.1
2018_1,서초,27.8
2018_1,신사역,75.7
2018_1,압구정,56.3
2018_1,청담,67.9
2018_1,테헤란로,46.6
2018_1,소계,52.4
2018_1,공덕역,41.5
2018_1,신촌,58.8
2018_1,영등포,38.9
2018_1,홍대합정,68.7
2018_1,소계,45.7
2018_1,건대입구,64.6
2018_1,경희대,44.1
2018_1,군자,29.9
2018_1,목동,34.3
2018_1,불광역,37.1
2018_1,사당,60.7
2018_1,서울대입구역,62.8
2018_1,성신여대,44.4
2018_1,수유,54.9
2018_1,신림역,73.9
2018_1,오류동역,46.6
2018_1,왕십리,38.6
2018_1,용산,25.2
2018_1,이태원,47
2018_1,잠실,42.6
