Date,상권,임대료,임대료_예측_머신러닝,임대료_예측_딥러닝,임대료_차이_머신,임대료_차이_딥
2017_4,군자,29.8,29.676 ,31.305 ,0.124 ,1.505 
2017_4,논현역,38.9,33.017 ,41.336 ,5.883 ,2.436 
2017_4,동대문,36.5,31.884 ,45.932 ,4.616 ,9.432 
2017_4,명동,270.4,205.714 ,280.576 ,64.686 ,10.176 
2017_4,목동,33.5,30.527 ,35.273 ,2.973 ,1.773 
2017_4,불광역,36.9,33.857 ,38.190 ,3.043 ,1.290 
2017_4,사당,60.7,51.570 ,56.159 ,9.130 ,4.541 
2017_4,서초,27.8,25.409 ,31.250 ,2.391 ,3.450 
2017_4,성신여대,44,39.004 ,45.812 ,4.996 ,1.812 
2017_4,수유,54.9,48.083 ,56.543 ,6.817 ,1.643 
2017_4,신림역,70.8,57.570 ,73.813 ,13.230 ,3.013 
2017_4,신촌,58.8,46.042 ,97.188 ,12.758 ,38.388 
2017_4,압구정,56.4,45.073 ,63.911 ,11.327 ,7.511 
2017_4,영등포,38.3,34.820 ,45.860 ,3.480 ,7.560 
2017_4,오류동역,46.6,39.362 ,36.706 ,7.238 ,9.894 
2017_4,왕십리,38,35.659 ,39.220 ,2.341 ,1.220 
2017_4,용산,25,22.457 ,30.063 ,2.543 ,5.063 
2017_4,이태원,47,40.567 ,58.050 ,6.433 ,11.050 
2017_4,잠실,41.8,35.205 ,36.482 ,6.595 ,5.318 
2017_4,장안동,21,22.531 ,28.502 ,1.531 ,7.502 
2017_4,종로,84.2,68.676 ,92.250 ,15.524 ,8.050 
2017_4,천호,35.4,33.138 ,31.669 ,2.262 ,3.731 
2017_4,청담,68,48.798 ,68.480 ,19.202 ,0.480 
2017_4,청량리,45.8,43.881 ,37.277 ,1.920 ,8.523 
2017_4,테헤란로,46.5,37.780 ,49.440 ,8.720 ,2.940 
2017_4,혜화동,73.7,58.420 ,76.431 ,15.280 ,2.731 
2017_4,홍대합정,55.8,47.175 ,72.732 ,8.625 ,16.932 
2017_4,화곡,26.4,25.397 ,30.125 ,1.003 ,3.725 
2018_1,건대입구,64.6,55.050 ,61.603 ,9.550 ,2.997 
2018_1,경희대,44.1,40.840 ,44.431 ,3.260 ,0.331 
2018_1,공덕역,41.5,34.757 ,38.798 ,6.743 ,2.702 
2018_1,광화문,69.1,54.704 ,77.776 ,14.396 ,8.676 
2018_1,군자,29.9,30.090 ,29.123 ,0.190 ,0.777 
2018_1,논현역,38.9,33.475 ,40.206 ,5.425 ,1.306 
2018_1,동대문,36.5,33.281 ,47.310 ,3.219 ,10.810 
2018_1,명동,270.4,229.984 ,287.452 ,40.416 ,17.052 
2018_1,목동,34.3,31.455 ,35.854 ,2.845 ,1.554 
2018_1,불광역,37.1,33.486 ,37.842 ,3.614 ,0.742 
2018_1,사당,60.7,51.962 ,55.405 ,8.738 ,5.295 
2018_1,서초,27.8,25.040 ,31.132 ,2.760 ,3.332 
2018_1,성신여대,44.4,39.033 ,45.885 ,5.367 ,1.485 
2018_1,수유,54.9,48.357 ,55.254 ,6.543 ,0.354 
2018_1,신림역,73.9,58.005 ,70.084 ,15.895 ,3.816 
2018_1,신촌,58.8,48.162 ,120.966 ,10.639 ,62.166 
2018_1,압구정,56.3,44.648 ,63.894 ,11.652 ,7.594 
2018_1,영등포,38.9,36.088 ,43.517 ,2.812 ,4.617 
2018_1,오류동역,46.6,40.913 ,35.082 ,5.687 ,11.518 
2018_1,왕십리,38.6,35.928 ,39.854 ,2.672 ,1.254 
2018_1,용산,25.2,23.758 ,30.987 ,1.442 ,5.787 
2018_1,이태원,47,41.685 ,58.064 ,5.315 ,11.064 
2018_1,잠실,42.6,36.206 ,35.754 ,6.394 ,6.846 
2018_1,장안동,21,22.492 ,26.757 ,1.492 ,5.757 
2018_1,종로,84.2,71.296 ,92.115 ,12.904 ,7.915 
2018_1,천호,35.8,32.850 ,31.301 ,2.950 ,4.499 
2018_1,청담,67.9,49.732 ,69.620 ,18.169 ,1.720 
2018_1,청량리,45.9,43.957 ,35.652 ,1.943 ,10.248 
2018_1,테헤란로,46.6,38.467 ,49.837 ,8.133 ,3.237 
2018_1,혜화동,73.4,62.202 ,75.999 ,11.198 ,2.599 
2018_1,홍대합정,68.7,48.697 ,85.125 ,20.003 ,16.425 
2018_1,화곡,26.9,25.880 ,29.978 ,1.020 ,3.078 
2018_2,건대입구,64.9,57.927 ,61.558 ,6.973 ,3.342 
2018_2,경희대,43.9,41.535 ,44.433 ,2.365 ,0.533 
2018_2,공덕역,41.6,35.533 ,38.879 ,6.067 ,2.721 
2018_2,광화문,69.7,54.683 ,78.808 ,15.017 ,9.108 
2018_2,군자,29.9,29.207 ,29.360 ,0.693 ,0.540 
2018_2,논현역,38.9,33.199 ,40.567 ,5.701 ,1.667 
2018_2,동대문,36.4,35.290 ,49.030 ,1.110 ,12.630 
2018_2,명동,271.7,194.914 ,275.451 ,76.786 ,3.751 
2018_2,목동,34,32.497 ,37.129 ,1.503 ,3.129 
