Date,상권,공실률,공실률_예측_머신러닝,공실률_예측_딥러닝,공실률_차이_머신,공실률_차이_딥
2016_3,사당,1.6,5.426 ,2.635 ,3.826 ,1.035 
2016_3,서초,5.3,8.095 ,6.953 ,2.795 ,1.653 
2016_3,성신여대,12.9,8.869 ,7.017 ,4.031 ,5.883 
2016_3,수유,12.3,7.958 ,10.375 ,4.342 ,1.925 
2016_3,신촌,6.3,10.987 ,5.386 ,4.687 ,0.914 
2016_3,영등포,11.3,11.856 ,10.665 ,0.556 ,0.635 
2016_3,용산,7.6,10.971 ,7.743 ,3.371 ,0.143 
2016_3,이태원,12.6,10.156 ,9.545 ,2.444 ,3.055 
2016_3,잠실,7,6.760 ,5.383 ,0.240 ,1.617 
2016_3,장안동,7,8.847 ,6.734 ,1.847 ,0.266 
2016_3,종로,9.8,7.969 ,10.414 ,1.831 ,0.614 
2016_3,천호,4,6.481 ,4.673 ,2.481 ,0.673 
2016_3,청담,11,7.463 ,12.792 ,3.537 ,1.792 
2016_3,청량리,8.1,7.389 ,7.869 ,0.711 ,0.231 
2016_3,충무로,5.1,7.330 ,6.231 ,2.230 ,1.131 
2016_3,테헤란로,8.9,8.853 ,9.987 ,0.047 ,1.087 
2016_3,혜화동,5.3,7.276 ,5.011 ,1.976 ,0.289 
2016_3,홍대합정,12.7,8.770 ,9.349 ,3.930 ,3.351 
2016_3,화곡,15.8,9.482 ,15.197 ,6.318 ,0.603 
2016_4,건대입구,3.4,7.238 ,3.768 ,3.838 ,0.368 
2016_4,경희대,0.4,2.756 ,0.939 ,2.356 ,0.539 
2016_4,공덕역,6.1,9.053 ,6.359 ,2.953 ,0.259 
2016_4,광화문,2.1,2.940 ,4.824 ,0.840 ,2.724 
2016_4,군자,7.6,6.851 ,5.897 ,0.749 ,1.703 
2016_4,동대문,10.4,17.250 ,9.179 ,6.850 ,1.221 
2016_4,명동,5.1,8.845 ,7.804 ,3.745 ,2.704 
2016_4,목동,7.6,7.301 ,7.521 ,0.299 ,0.079 
2016_4,사당,3.5,7.100 ,3.199 ,3.600 ,0.301 
2016_4,서초,3.6,9.160 ,6.312 ,5.560 ,2.712 
2016_4,성신여대,10.6,9.570 ,6.601 ,1.030 ,3.999 
2016_4,수유,13.8,6.851 ,10.102 ,6.949 ,3.698 
2016_4,신촌,5.5,10.511 ,5.957 ,5.011 ,0.457 
2016_4,영등포,12.4,11.961 ,11.066 ,0.439 ,1.334 
2016_4,용산,8.5,10.941 ,8.199 ,2.441 ,0.301 
2016_4,이태원,16.7,12.799 ,9.997 ,3.901 ,6.703 
2016_4,잠실,6.8,8.964 ,5.776 ,2.164 ,1.024 
2016_4,장안동,6.7,8.052 ,6.875 ,1.352 ,0.175 
2016_4,종로,10.2,8.589 ,10.738 ,1.611 ,0.538 
2016_4,천호,4,6.166 ,4.495 ,2.166 ,0.495 
2016_4,청담,11.4,7.732 ,12.277 ,3.668 ,0.877 
2016_4,청량리,8.1,6.460 ,7.154 ,1.640 ,0.946 
2016_4,충무로,5.1,6.974 ,6.235 ,1.874 ,1.135 
2016_4,테헤란로,8.9,8.023 ,10.341 ,0.877 ,1.441 
2016_4,혜화동,5.3,6.285 ,4.680 ,0.985 ,0.620 
2016_4,홍대합정,12.7,8.068 ,9.184 ,4.632 ,3.516 
2016_4,화곡,15.8,9.176 ,15.388 ,6.624 ,0.412 
2017_1,건대입구,2.9,6.223 ,2.803 ,3.323 ,0.097 
2017_1,경희대,0.5,1.554 ,0.822 ,1.054 ,0.322 
2017_1,공덕역,5.3,6.098 ,5.948 ,0.798 ,0.648 
2017_1,광화문,1.8,2.487 ,2.801 ,0.687 ,1.001 
2017_1,군자,2.1,6.342 ,4.083 ,4.242 ,1.983 
2017_1,논현역,1,6.626 ,1.820 ,5.626 ,0.820 
2017_1,동대문,10.9,11.179 ,9.306 ,0.279 ,1.594 
2017_1,명동,5.5,7.998 ,8.409 ,2.498 ,2.909 
2017_1,목동,5.5,8.110 ,7.072 ,2.610 ,1.572 
2017_1,불광역,3.8,6.351 ,3.559 ,2.551 ,0.241 
2017_1,사당,5,6.767 ,2.939 ,1.767 ,2.061 
2017_1,서초,9.4,9.327 ,9.404 ,0.073 ,0.004 
2017_1,성신여대,10.6,9.189 ,8.005 ,1.411 ,2.595 
2017_1,수유,13.7,5.952 ,9.209 ,7.748 ,4.491 
2017_1,신림역,5.6,6.844 ,4.990 ,1.244 ,0.610 
2017_1,신촌,5.5,7.638 ,10.928 ,2.138 ,5.428 
2017_1,압구정,7.3,9.202 ,9.329 ,1.902 ,2.029 
2017_1,영등포,10.9,11.117 ,10.406 ,0.217 ,0.494 
2017_1,오류동역,2.8,5.936 ,3.002 ,3.136 ,0.202 
2017_1,왕십리,10.2,8.260 ,7.698 ,1.940 ,2.502 
2017_1,용산,8.2,9.100 ,8.151 ,0.900 ,0.049 
2017_1,이태원,14.9,9.791 ,10.700 ,5.109 ,4.200 
2017_1,잠실,8.9,11.336 ,5.557 ,2.436 ,3.343 
2017_1,장안동,7.6,8.132 ,6.743 ,0.532 ,0.857 
2017_1,종로,4.7,6.290 ,7.422 ,1.590 ,2.722 
2017_1,천호,5.3,6.299 ,4.404 ,0.999 ,0.896 
2017_1,청담,4.7,6.250 ,8.395 ,1.550 ,3.695 
2017_1,청량리,6.2,7.297 ,5.419 ,1.097 ,0.781 
2017_1,테헤란로,11.1,9.054 ,10.922 ,2.046 ,0.178 
2017_1,혜화동,2.6,4.760 ,2.820 ,2.160 ,0.220 
2017_1,홍대합정,8,6.022 ,7.467 ,1.978 ,0.533 
2017_1,화곡,14.1,8.757 ,12.851 ,5.343 ,1.249 
2017_2,건대입구,2.4,6.547 ,2.597 ,4.147 ,0.197 
2017_2,경희대,0.5,2.526 ,1.452 ,2.026 ,0.952 
2017_2,공덕역,5.3,6.139 ,5.320 ,0.839 ,0.020 
2017_2,광화문,1.8,2.310 ,3.024 ,0.510 ,1.224 
2017_2,군자,4,5.523 ,4.505 ,1.523 ,0.505 
2017_2,논현역,1,6.593 ,1.516 ,5.593 ,0.516 
2017_2,동대문,10.9,5.442 ,10.790 ,5.458 ,0.110 
2017_2,명동,4,7.327 ,7.917 ,3.327 ,3.917 
2017_2,목동,4.6,7.400 ,5.988 ,2.800 ,1.388 
2017_2,불광역,3.8,5.686 ,3.890 ,1.886 ,0.090 
2017_2,사당,4.7,5.324 ,3.419 ,0.624 ,1.281 
2017_2,서초,8.3,9.104 ,8.224 ,0.804 ,0.076 
2017_2,성신여대,9.6,8.090 ,6.740 ,1.510 ,2.860 
2017_2,수유,10.3,7.224 ,8.430 ,3.076 ,1.870 
2017_2,신림역,5.6,5.396 ,4.640 ,0.204 ,0.960 
2017_2,신촌,4.2,8.653 ,9.726 ,4.453 ,5.526 
2017_2,압구정,13.1,10.597 ,14.026 ,2.503 ,0.926 
2017_2,영등포,10.8,10.032 ,9.815 ,0.768 ,0.985 
2017_2,오류동역,8,6.633 ,4.088 ,1.367 ,3.912 
2017_2,왕십리,12,10.425 ,8.153 ,1.575 ,3.847 
2017_2,용산,5.9,9.570 ,6.979 ,3.670 ,1.079 
2017_2,이태원,14.9,10.961 ,10.893 ,3.939 ,4.007 
2017_2,잠실,12.2,12.257 ,7.517 ,0.057 ,4.683 
2017_2,장안동,7.6,7.609 ,7.205 ,0.009 ,0.395 
2017_2,종로,3.8,5.851 ,5.420 ,2.051 ,1.620 
2017_2,천호,5.3,7.195 ,4.594 ,1.895 ,0.706 
2017_2,청담,3.4,5.943 ,8.129 ,2.543 ,4.729 
2017_2,청량리,6.9,7.562 ,5.840 ,0.662 ,1.060 
2017_2,테헤란로,9.3,8.510 ,10.545 ,0.790 ,1.245 
2017_2,혜화동,8.6,7.904 ,5.463 ,0.696 ,3.137 
2017_2,홍대합정,11.6,6.925 ,8.149 ,4.675 ,3.451 
2017_2,화곡,12.8,9.261 ,12.080 ,3.539 ,0.720 
2017_3,건대입구,2.8,4.778 ,2.979 ,1.978 ,0.179 
2017_3,경희대,3.7,3.439 ,2.120 ,0.261 ,1.580 
2017_3,공덕역,5.3,6.922 ,4.681 ,1.622 ,0.619 
2017_3,광화문,1.1,2.023 ,2.712 ,0.923 ,1.612 
2017_3,군자,2.7,5.703 ,4.082 ,3.003 ,1.382 
2017_3,논현역,1,6.944 ,1.753 ,5.944 ,0.753 
2017_3,동대문,10.9,16.319 ,10.367 ,5.419 ,0.533 
2017_3,명동,3.9,6.788 ,8.486 ,2.888 ,4.586 
2017_3,목동,6.5,7.445 ,6.052 ,0.945 ,0.448 
2017_3,불광역,3.8,5.948 ,3.512 ,2.148 ,0.288 
2017_3,사당,5.6,5.698 ,3.302 ,0.098 ,2.298 
2017_3,서초,7.5,9.207 ,8.006 ,1.707 ,0.506 
2017_3,성신여대,9.6,9.547 ,7.140 ,0.053 ,2.460 
2017_3,수유,10.3,6.230 ,8.249 ,4.070 ,2.051 
2017_3,신림역,5.9,5.728 ,4.439 ,0.172 ,1.461 
2017_3,신촌,5.8,10.662 ,11.754 ,4.862 ,5.954 
2017_3,압구정,16.6,9.427 ,12.606 ,7.173 ,3.994 
2017_3,영등포,11.5,12.603 ,10.145 ,1.103 ,1.355 
2017_3,오류동역,8,5.996 ,3.645 ,2.004 ,4.355 
2017_3,왕십리,8.7,10.241 ,7.519 ,1.541 ,1.181 
2017_3,용산,7.6,8.565 ,7.419 ,0.965 ,0.181 
2017_3,이태원,19.1,11.507 ,11.167 ,7.593 ,7.933 
2017_3,잠실,11,12.210 ,8.262 ,1.210 ,2.738 
2017_3,장안동,7.6,8.204 ,7.315 ,0.604 ,0.285 
2017_3,종로,2.9,5.964 ,5.496 ,3.064 ,2.596 
2017_3,천호,5.3,6.908 ,4.872 ,1.608 ,0.428 
2017_3,청담,4.4,5.626 ,7.812 ,1.226 ,3.412 
2017_3,청량리,8.8,8.161 ,6.401 ,0.639 ,2.399 
2017_3,테헤란로,9.3,8.751 ,10.069 ,0.549 ,0.769 
2017_3,혜화동,8.6,8.422 ,5.484 ,0.178 ,3.116 
2017_3,홍대합정,6.1,7.490 ,7.413 ,1.390 ,1.313 
2017_3,화곡,12.8,8.716 ,11.935 ,4.084 ,0.865 
2017_4,건대입구,1.4,5.005 ,2.373 ,3.605 ,0.973 
2017_4,경희대,3.7,3.753 ,3.280 ,0.053 ,0.420 
