Date,상권_코드_명,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수
2015_4,긴고랑로9길,300116,142492,157626,20217,35236,57861,73353,77686,35763
2015_4,능동로13길,208102,106697,101402,6878,75925,45020,35083,32187,13007
2015_4,능동로19길,141860,75106,66754,7066,45962,28195,24869,24028,11740
2015_4,능동로34길,106632,49907,56724,2305,17046,27554,25774,24218,9732
2015_4,능동로3길,396290,197424,198865,23129,85770,88865,81880,80527,36113
2015_4,능동로4길,104251,50002,54249,6145,11932,25023,27640,24511,9003
2015_4,동일로18길,257686,145444,112241,8454,50566,59784,57272,55912,25701
2015_4,동일로24길,227160,124757,102397,8455,67140,52003,44314,40233,15010
2015_4,뚝섬로23길,292002,145796,146205,15790,57288,65590,60252,60332,32752
2015_4,뚝섬로24길,137743,75828,61910,3608,23058,33044,32932,32123,12968
2015_4,뚝섬로48길,191679,91955,99726,12126,22787,44943,49985,44921,16918
2015_4,뚝섬로54길,180797,89076,91722,9837,24293,41635,45382,42585,17062
2015_4,뚝섬로58길,201567,99952,101614,14274,33818,42782,46545,43142,21005
2015_4,뚝섬로64길,126071,68344,57726,4785,16996,23930,32330,34034,13997
2015_4,면목로17길,174999,86823,88175,2473,17250,37694,50201,53478,13900
2015_4,아차산로40길,109082,53708,55377,5957,23063,24036,23996,23217,8816
2015_4,아차산로51길,177698,86692,91007,9535,32648,39969,39485,37618,18438
2015_4,아차산로55길,111330,55639,55691,5209,18842,24905,26669,25201,10503
2015_4,아차산로65길,60353,25448,34908,5814,5482,13658,19120,12841,3445
2015_4,아차산로78길,46826,25320,21505,1199,4314,10245,15454,12746,2867
2015_4,용마산로21길,223743,104192,119550,13372,22879,43555,58652,63119,22167
2015_4,용마산로3길,144920,66534,78386,6675,17516,32117,36036,36949,15627
2015_4,자양로11길,453576,222114,231465,24765,76729,99954,102956,98307,50860
2015_4,자양로15길,125252,62955,62296,5908,23018,27462,28947,27878,12041
2015_4,자양로26길,191134,87713,103418,12886,26585,46750,47529,43079,14308
2015_4,자양로45길,83356,39380,43977,4155,6963,18830,22069,22563,8775
2015_4,자양로50길,246107,114454,131657,18054,30072,51813,59189,55869,31113
2015_4,자양로53길,115772,53742,62034,7093,12453,24880,28795,28518,14037
2015_4,자양번영로3길,285966,135664,150293,21681,42275,65790,71746,59894,24587
2015_4,천호대로109길,295741,152095,143643,8714,43836,65121,70422,71855,35793
2015_4,천호대로123길,149382,70308,79075,8354,15337,28928,36288,39944,20532
2015_4,천호대로129길,232187,109519,122668,15852,27175,50471,56092,53248,29344
2015_4,경희대로3길,66139,32984,33156,4293,14208,11500,11436,12108,12596
2015_4,경희대로4길,334140,165469,168668,26424,89756,61637,57891,53815,44611
2015_4,난계로30길,92980,56686,36293,565,10337,20035,22834,23441,15766
2015_4,답십리로23길,182058,85718,96339,12296,26840,36752,41577,41269,23324
2015_4,답십리로56길,307347,140254,167089,16239,31968,65706,78792,76717,37929
2015_4,답십리로60길,42678,22510,20168,156,3211,9762,11735,12226,5587
2015_4,답십리로63길,60632,29169,31463,3648,6665,13593,16095,14782,5849
2015_4,답십리로64길,311535,160728,150803,10622,36074,72269,78993,76104,37467
2015_4,답십리로68길,173732,89189,84541,6690,20135,43407,43698,41249,18554
